DE,COMUNA,BARRIO,POINT_X,POINT_Y,Escuela_DE,NEAR_FID,NEAR_DIST
6.00000000000,3.00000000000,SAN CRISTOBAL,104894.07399999999,100906.58590000001,15_6,"26",1100.31371506000
16.00000000000,12.00000000000,VILLA PUEYRREDON,96919.42210000000,104883.83060000000,17_16,"23",1507.23274435000
1.00000000000,2.00000000000,RECOLETA,106519.18110000000,104333.43979999999,1_1,"10",1847.31030288000
1.00000000000,1.00000000000,RETIRO,107197.15600000000,104102.41660000000,2_1,"10",1357.96255136000
1.00000000000,2.00000000000,RECOLETA,106853.14659999999,103693.44030000000,3_1,"10",1884.52311715000
1.00000000000,1.00000000000,SAN NICOLAS,108338.08270000000,102974.39430000000,4_1,"10",1971.55502427000
1.00000000000,1.00000000000,SAN NICOLAS,106605.13150000000,103200.46189999999,5_1,"21",1787.39732787000
1.00000000000,1.00000000000,RETIRO,107915.13610000000,104016.38840000000,6_1,"10",990.98578248100
1.00000000000,1.00000000000,SAN NICOLAS,107139.11780000001,103161.44040000001,8_1,"10",2107.43661931000
1.00000000000,1.00000000000,SAN NICOLAS,107399.63120000000,102549.21610000001,9_1,"11",1860.99300815000
1.00000000000,3.00000000000,BALVANERA,105771.13570000000,102849.50490000000,10_1,"21",1080.60436697000
1.00000000000,14.00000000000,PALERMO,104785.24760000000,104980.49800000001,12_1,"21",1607.40394090000
1.00000000000,1.00000000000,SAN NICOLAS,108193.08490000000,102948.40100000000,13_1,"10",1997.30560353000
1.00000000000,3.00000000000,BALVANERA,105931.12000000000,102562.50470000000,14_1,"21",1370.72154668000
2.00000000000,5.00000000000,ALMAGRO,104195.15119999999,102366.58210000000,18_2,"1",396.58429562100
3.00000000000,1.00000000000,MONTSERRAT,107135.33430000000,101406.96460000001,13_3,"11",1284.14173528000
5.00000000000,4.00000000000,BARRACAS,108023.94390000000,99499.48639999999,3_5,"4",1148.19711980000
5.00000000000,1.00000000000,CONSTITUCION,106775.99290000000,99991.52760000000,4_5,"11",1820.13123395000
2.00000000000,5.00000000000,ALMAGRO,103749.19289999999,103118.58370000000,19_2,"1",608.24702336600
2.00000000000,5.00000000000,ALMAGRO,103390.21360000000,103416.59209999999,20_2,"1",1001.69915922000
2.00000000000,5.00000000000,ALMAGRO,104425.15320000000,102539.56849999999,22_2,"1",598.09183509200
5.00000000000,4.00000000000,BARRACAS,107621.91929999999,98697.52140000000,5_5,"28",1248.69893481000
5.00000000000,1.00000000000,CONSTITUCION,107124.97199999999,99684.51990000000,6_5,"11",1739.21161389000
5.00000000000,4.00000000000,BARRACAS,108105.97250000000,100226.46640000000,7_5,"11",746.10048850100
9.00000000000,13.00000000000,COLEGIALES,101066.39659999999,106519.61920000000,16_9,"8",1988.22613001000
9.00000000000,14.00000000000,PALERMO,103754.40330000001,104807.96450000000,17_9,"8",1765.84003703000
9.00000000000,15.00000000000,VILLA CRESPO,102719.24510000000,103805.61139999999,18_9,"8",1200.40482201000
9.00000000000,15.00000000000,VILLA CRESPO,101699.28079999999,104103.64750000001,19_9,"8",716.22493678900
9.00000000000,14.00000000000,PALERMO,103608.28760000000,105296.54020000000,20_9,"8",1706.07847330000
9.00000000000,14.00000000000,PALERMO,102582.39290000001,107250.53900000000,30_9,"8",2561.60837337000
18.00000000000,10.00000000000,MONTE CASTRO,95361.27959999999,100648.99210000000,1_18,"17",2034.08400146000
18.00000000000,10.00000000000,MONTE CASTRO,95804.27730000000,100834.96930000000,2_18,"17",1583.42993899000
10.00000000000,13.00000000000,NUÃ‘EZ,100218.50599999999,108665.60610000000,9_10,"22",2409.44181918000
10.00000000000,13.00000000000,NUÃ‘EZ,100261.52580000000,109158.59310000000,10_10,"9",2424.20462808000
10.00000000000,13.00000000000,BELGRANO,102729.45400000000,108783.49800000001,11_10,"8",4092.44746963000
10.00000000000,13.00000000000,NUÃ‘EZ,99362.51070000000,108313.65010000000,12_10,"9",1693.54482799000
10.00000000000,13.00000000000,NUÃ‘EZ,100865.49310000001,108707.57799999999,20_10,"22",2824.03821044000
10.00000000000,12.00000000000,SAAVEDRA,98672.17370000000,108819.41680000001,21_10,"9",865.13781873800
10.00000000000,13.00000000000,BELGRANO,101065.48110000000,108529.57360000000,22_10,"22",2834.99716950000
19.00000000000,8.00000000000,VILLA SOLDATI,101313.96320000000,96332.84010000000,20_19,"6",699.89684506500
19.00000000000,8.00000000000,VILLA SOLDATI,101345.71410000000,96558.31310000000,21_19,"12",679.02636153500
19.00000000000,4.00000000000,NUEVA POMPEYA,102824.00370000000,98113.73620000000,22_19,"16",118.48020311100
19.00000000000,4.00000000000,NUEVA POMPEYA,103640.92260000001,96624.73570000000,5_19,"13",1755.47778869000
19.00000000000,8.00000000000,VILLA SOLDATI,101336.97250000000,96566.83379999999,7_19,"12",667.66922045700
20.00000000000,8.00000000000,VILLA LUGANO,97247.99040000000,94784.04600000000,22_20,"5",261.23376777100
21.00000000000,8.00000000000,VILLA RIACHUELO,98837.28860000000,93564.22980000000,13_21,"20",1107.73065699000
21.00000000000,8.00000000000,VILLA LUGANO,98671.92710000000,94046.00290000001,14_21,"20",1247.36622093000
21.00000000000,8.00000000000,VILLA LUGANO,99969.87190000000,93433.96230000000,15_21,"18",386.80096994900
7.00000000000,6.00000000000,CABALLITO,102732.14870000001,101516.66280000001,3_7,"1",1482.35930512000
7.00000000000,6.00000000000,CABALLITO,101101.14509999999,100550.75330000000,4_7,"14",2295.00252497000
7.00000000000,7.00000000000,FLORES,100289.20329999999,101495.76590000000,5_7,"29",1947.19979873000
7.00000000000,15.00000000000,VILLA CRESPO,101558.23430000000,102921.68020000000,6_7,"8",1886.75857611000
7.00000000000,6.00000000000,CABALLITO,100961.06800000000,102234.87230000000,8_7,"29",2348.39074353000
7.00000000000,11.00000000000,VILLA GRAL. MITRE,99776.25560000000,102464.76549999999,9_7,"29",1148.00639206000
7.00000000000,6.00000000000,CABALLITO,100472.23130000000,102261.74080000000,11_7,"29",1860.08698511000
7.00000000000,7.00000000000,FLORES,100240.20620000000,101538.76700000001,12_7,"29",1882.98343747000
7.00000000000,11.00000000000,VILLA GRAL. MITRE,100013.22900000001,101957.76700000001,13_7,"29",1491.43910348000
7.00000000000,6.00000000000,CABALLITO,101636.18590000000,101809.70220000000,14_7,"1",2302.19276751000
